daytime,time,mid
20170330.0,100000.0,111.353
20170330.0,100500.0,111.417
20170330.0,101000.0,111.369
20170330.0,101500.0,111.379
20170330.0,102000.0,111.362
20170330.0,102500.0,111.381
20170330.0,103000.0,111.39
20170330.0,103500.0,111.392
20170330.0,104000.0,111.4
20170330.0,104500.0,111.376
20170330.0,105000.0,111.35
20170330.0,105500.0,111.394
20170330.0,110000.0,111.392
20170330.0,110500.0,111.385
20170330.0,111000.0,111.368
20170330.0,111500.0,111.369
20170330.0,112000.0,111.381
20170330.0,112500.0,111.388
20170330.0,113000.0,111.352
20170330.0,113500.0,111.313
20170330.0,114000.0,111.312
20170330.0,114500.0,111.326
20170330.0,115000.0,111.328
20170330.0,115500.0,111.319
20170330.0,120000.0,111.313
20170330.0,120500.0,111.321
20170330.0,121000.0,111.334
20170330.0,121500.0,111.311
20170330.0,122000.0,111.301
20170330.0,122500.0,111.259
20170330.0,123000.0,111.27
20170330.0,123500.0,111.284
20170330.0,124000.0,111.301
20170330.0,124500.0,111.276
20170330.0,125000.0,111.264
20170330.0,125500.0,111.257
20170330.0,130000.0,111.266
20170330.0,130500.0,111.246
20170330.0,131000.0,111.24
20170330.0,131500.0,111.257
20170330.0,132000.0,111.271
20170330.0,132500.0,111.251
20170330.0,133000.0,111.228
20170330.0,133500.0,111.233
20170330.0,134000.0,111.278
20170330.0,134500.0,111.305
20170330.0,135000.0,111.3
20170330.0,135500.0,111.267
20170330.0,140000.0,111.284
20170330.0,140500.0,111.244
20170330.0,141000.0,111.212
20170330.0,141500.0,111.17
20170330.0,142000.0,111.172
20170330.0,142500.0,111.159
20170330.0,143000.0,111.162
20170330.0,143500.0,111.115
20170330.0,144000.0,111.143
20170330.0,144500.0,111.167
20170330.0,145000.0,111.16
20170330.0,145500.0,111.192
20170330.0,150000.0,111.194
20170330.0,150500.0,111.15
20170330.0,151000.0,111.169
20170330.0,151500.0,111.157
20170330.0,152000.0,111.135
20170330.0,152500.0,111.133
20170330.0,153000.0,111.151
20170330.0,153500.0,111.132
20170330.0,154000.0,111.137
20170330.0,154500.0,111.07
20170330.0,155000.0,111.101
20170330.0,155500.0,111.062
20170330.0,160000.0,111.096
20170330.0,160500.0,111.052
20170330.0,161000.0,110.995
20170330.0,161500.0,111.018
20170330.0,162000.0,110.966
